2026-08-02 01:19:45,325 | INFO | ========== ЗАПУСК АССИСТЕНТА ==========
2026-08-02 01:19:45,327 | INFO | Текущий голос: eugene
2026-08-02 01:19:45,444 | INFO | Ассистент запущен
2026-08-02 01:19:45,444 | INFO | Настройка микрофона
2026-08-02 01:19:49,376 | INFO | Микрофон готов
2026-08-02 01:19:49,376 | INFO | Загрузка Silero
2026-08-02 01:19:54,413 | ERROR | TTS ошибка: [WinError 32] Процесс не может получить доступ к файлу, так как этот файл занят другим процессом: 'C:\\Users\\Admin\\AppData\\Local\\Temp\\tmp1kd1rew5.wav'
2026-08-02 01:19:59,365 | ERROR | Речь: 
2026-08-02 01:20:06,242 | ERROR | Речь: 
2026-08-02 01:20:09,089 | ERROR | Речь: 
2026-08-02 01:20:19,136 | ERROR | Речь: 
2026-08-02 01:20:27,803 | ERROR | Речь: 
2026-08-02 01:20:32,160 | INFO | Команда: слушай поиск видео коти
2026-08-02 01:20:32,249 | INFO | YouTube поиск: коти
2026-08-02 01:20:33,101 | ERROR | TTS ошибка: [WinError 32] Процесс не может получить доступ к файлу, так как этот файл занят другим процессом: 'C:\\Users\\Admin\\AppData\\Local\\Temp\\tmpb99ejrul.wav'
2026-08-02 01:20:40,892 | ERROR | Речь: 
2026-08-02 01:20:44,508 | ERROR | Речь: 
2026-08-02 01:20:50,661 | ERROR | Речь: 
2026-08-02 01:20:57,689 | ERROR | Речь: 
2026-08-02 01:22:13,245 | ERROR | Речь: 
2026-08-02 01:22:17,402 | ERROR | Речь: 
2026-08-02 01:22:24,830 | ERROR | Речь: 
2026-08-02 01:22:32,851 | ERROR | Речь: 
2026-08-02 01:22:38,799 | ERROR | Речь: 
2026-08-02 01:22:41,637 | ERROR | Речь: 
2026-08-02 01:22:48,722 | ERROR | Речь: 
2026-08-02 01:22:52,776 | ERROR | Речь: 
2026-08-02 01:22:55,470 | ERROR | Речь: 
2026-08-02 01:23:00,812 | ERROR | Речь: 
2026-08-02 01:23:03,642 | ERROR | Речь: 
2026-08-02 01:23:07,699 | ERROR | Речь: 
2026-08-02 01:23:14,951 | ERROR | Речь: 
2026-08-02 01:23:18,781 | ERROR | Речь: 
2026-08-02 01:23:19,232 | INFO | Остановка вручную
